Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Паттерны проектирования для C# и платформы .NET Core,"Арораа Гаурав, Чилберто Джеффри",Питер:Для профессионалов,2479,3396,27,На складе
Структуры и алгоритмы обработки данных. Учебник для СПО,"Павлов Леонид Александрович, Первова Наталия Викторовна",Лань:Компьютеры и программное обеспечение,1127,1503,25,Ограничено
Численные методы и программирование. Учебное пособие для СПО,Слабнов Виктор Дмитриевич,Лань:Компьютеры и программное обеспечение,2981,3975,25,На складе
Web-программирование на JavaScript. Учебное пособие для СПО,Диков Андрей Валентинович,Лань:Компьютеры и программное обеспечение,1119,1492,25,Ограничено
Технология разработки программного обеспечения. Учебное пособие для СПО,Зубкова Татьяна Михайловна,Лань:Компьютеры и программное обеспечение,1979,2638,25,На складе
"“Непрактичный” Python. Занимательные проекты для тех, кто хочет поумнеть",Воган Ли,BHV,908,1210,25,На складе
Разработка приложений на Swift 5.1 и SwiftUI с нуля,Казанский Александр Анатольевич,BHV:С нуля,798,1064,25,На складе
WordPress с нуля,Молочков Владимир Петрович,BHV:С нуля,521,695,25,На складе
Совершенный софт. Совершенный софт — совершенная,Леве Джувел,Питер:Для профессионалов,1640,2247,27,На складе
"Spark в действии. С примерами Java, Python и Scala",Перрен Жан-Жорж,ДМК-Пресс,2600,3467,25,На складе
Изучаем Power Query. Наглядный подход к подключению и преобразованию данных из множества источников,"Фоукс Линда, Спарроу Уоррен",ДМК-Пресс,1530,2040,25,На складе
Еще более эффективный Agile,Макконнелл Стив,Питер:IT для бизнеса,1132,1550,27,На складе
Секреты Python Pro,Хиллард Дейн,Питер:Для профессионалов,1767,2421,27,На складе
Программирование на Python в примерах и задачах,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,902,1157,22,На складе
Моделирование и оптимизация процессов управления в технологических системах. Учебник,"Колтунов Игорь Ильич, Крыжановская Татьяна Георгиевна",Кнорус:Магистратура,1069,1425,25,На складе
Квантовые вычисления. Прикладной подход,Хидари Джек Д.,ДМК-Пресс,1530,2040,25,На складе
JavaScript. Полное руководство,Флэнаган Дэвид,Вильямс,2592,3456,25,Ограничено
Проектирование информационных систем. Методы и средства структурно-функционального проектирования,"Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1119,1492,25,На складе
Структуры дан.в C#.Лин.и нелин.динамич.структ.СПО,Симонова Елена Витальевна,Лань:Компьютеры и программное обеспечение,1193,1590,25,На складе
"Проектирование информационных систем. Стандартизация, техническое документирование информ. систем","Гвоздева Татьяна Вадимовна, Баллод Борис Анатольевич",Лань:Компьютеры и программное обеспечение,1470,1960,25,Ограничено
Системы отображения информации. Дискретные индикаторы. Учебник для вузов,Смирнов Виктор Михайлович,Лань:Компьютеры и программное обеспечение,2283,3044,25,На складе
"Инфокоммуникационные системы. Протоколы,интерфейсы. Практикум. СПО",Журавлев Антон Евгеньевич,Лань:Компьютеры и программное обеспечение,1417,1889,25,На складе
Нечеткое моделирование и управление в технических системах. Учебное пособие для вузов,Кудинов Юрий Иванович и др.,Лань:Компьютеры и программное обеспечение,1979,2638,25,На складе
Мультимедийные технологии. Учебник для СПО,Катунин Геннадий Павлович,Лань:Компьютеры и программное обеспечение,3131,4174,25,Ограничено
"Swift. Основы разработки приложений под iOS, iPadOS и macOS",Усов Василий,Питер:Библиотека программиста,1463,2004,27,На складе
Система модулей Java,Парлог Николай,Питер:Для профессионалов,1894,2595,27,На складе
Как программировать на С++,"Дейтел Харви, Дейтел Пол Дж.",Бином,1400,1866,25,На складе
Игровой движок. Программирование и внутреннее устройство,Грегори Джейсон,Питер:Для профессионалов,4044,5540,27,На складе
Принципы юнит-тестирования,Хориков Владимир,Питер:Для профессионалов,1004,1376,27,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1513,2073,27,На складе
Kotlin. Сборник рецептов. Предметный подход,Коузен Кен,ДМК-Пресс,1223,1631,25,На складе
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1453,1937,25,На складе
Компьютерная арифметика. Учебное пособие. СПО (+CD),Иорданский Михаил Анатольевич,Лань:Компьютеры и программное обеспечение,1040,1386,25,На складе
Программирование. Практикум. Учебное пособие,Быкадорова Елена Анатольевна,Лань:Компьютеры и программное обеспечение,386,515,25,На складе
Системное программное обеспечение информационных мультимедиасистем. Учебное пособие,"Иванько Александр Федорович, Иванько Михаил Александрович",Лань:Компьютеры и программное обеспечение,677,902,25,На складе
Распределенные системы,"Таненбаум Эндрю, Стин ван Мартен",ДМК-Пресс,2294,3059,25,На складе
