Название книги,Автор,Издательство,Цена со скидкой,Цена без скидки,Процент скидки,Наличие на складе
Моделирование объектов управления в MatLab. Учебное пособие,"Затонский Андрей Владимирович, Тугашова Лариса Геннадьевна",Лань:Учебники для вузов. Специальная литература,1342,1789,25,На складе
Основы алгоритмизации и программирования. Практикум. ФГОС,Серкова Екатерина Геннадьевна,Феникс:Среднее профессиональное образование,459,589,22,На складе
Программирование на C# для начинающих. Особенности языка,Васильев Александр Николаевич,Бомбора:Российский компьютерный бестселлер,861,1104,22,На складе
Архитектура вычислительных систем и Ассемблер,"Гагарина Лариса Геннадьевна, Кононова Александра Игоревна",Солон-пресс:Библиотека студента,821,1095,25,На складе
Delphi. Программирование в примерах и задачах. Практикум: Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Высшее образование,802,1069,25,На складе
Delphi. Программирование в примерах и задачах. Практикум. Учебное пособие,"Милорадов Константин Александрович, Эйдлина Галина Михайловна",РИОР:Среднее профессиональное образование,914,1219,25,На складе
"Web-аппликации в интернет-маркетинге. Проектирование, создание и применение. Практическое пособие","Винарский Яков Самуилович, Гутгарц Римма Давыдовна",ИНФРА-М:Среднее профессиональное образование,1673,2230,25,На складе
Суперкомпьютерные вычисления: практический подход,"Борзунов Сергей Викторович, Кургалин Сергей Дмитриевич",BHV:Учебник для ВУЗов,587,782,25,На складе
Java. Эффективное программирование,Блох Джошуа,Вильямс,2592,3456,25,На складе
"Создаем динамические веб-сайты с помощью PHP, MySQL, JavaScript, CSS и HTML5",Никсон Робин,Питер:Бестселлеры O`Reilly,1513,2073,27,На складе
DevOps для ИТ-менеджеров,Скрынник Олег,ДМК-Пресс,994,1325,25,На складе
Kubernetes в действии,Лукша Марко,ДМК-Пресс,2294,3059,25,На складе
Смарт-карты и информационная безопасность,"Мытник Константин Яковлевич, Панасенко Сергей Петрович",ДМК-Пресс:Безопасность и защита,1530,2040,25,На складе
CSS. Карманный справочник,Мейер Эрик,Вильямс,783,1044,25,На складе
Изучаем регулярные выражения,Форта Бен,Вильямс,530,706,25,На складе
Пользовательские истории. Гибкая разработка программного обеспечения,Кон Майк,Вильямс,2592,3456,25,На складе
Паскаль для школьников. Учебное пособие,Попов В. Б.,РИОР,3487,Нет старого прайса,Нет скидки,На складе
Java. Руководство для начинающих,Шилдт Герберт,Диалектика,2592,3456,25,На складе
Алгоритмы. Построение и анализ,Кормен Томас и др.,Диалектика,6482,8642,25,На складе
Python. Экспресс-курс,Седер Наоми,Питер:Библиотека программиста,1081,1481,27,На складе
Изучай Erlang во имя добра!,Хеберт Фред,ДМК-Пресс,1376,1835,25,На складе
Программируй на Haskell,Курт Уилл,ДМК-Пресс:Функциональное программирование,1835,2447,25,На складе
"Конфигурирование и моделирование в системе ""1С: Предприятие"". Учебник",Дадян Эдуард Григорьевич,ИНФРА-М:Высшее образование. Магистратура,2761,3681,25,На складе
Python. Справочник. Полное описание языка,Мартелли Алекс и др.,Диалектика,3242,4322,25,На складе
Теоретический минимум по Big Data. Всё что нужно знать о больших данных,"Ын Анналин, Су Кеннет",Питер:Библиотека программиста,637,873,27,На складе
"HTML, JavaScript, PHP и MySQL. Джентльм.наб. Изд.5","Дронов Владимир Александрович, Прохоренок Николай Анатольевич",BHV:Профессиональное программирование,1202,1603,25,На складе
Проекты с использованием контроллера Arduino,Петин Виктор Александрович,BHV:Электроника,669,892,25,На складе
Основы программирования на языке Python,Златопольский Дмитрий Михайлович,ДМК-Пресс,620,827,25,На складе
Методы научных исследований в программной инженерии,Пантелеев Евгений Рафаилович,Лань:Учебники для вузов. Специальная литература,875,1166,25,На складе
Структуры данных в C#. Линейные и нелинейные динамические структуры. Учебное пособие,Симонова Елена Витальевна,Лань:Учебники для вузов. Специальная литература,1140,1520,25,На складе
Основы тестирования и верификации программного обеспечения,Старолетов Сергей Михайлович,Лань:Учебники для вузов. Специальная литература,2459,3279,25,На складе
Работа с BigData в облаках. Обработка и хранение данных с примерами из Microsoft Azure,Сенько Александр,Питер,830,1137,27,Ограничено
Unity в действии. Мультиплатформенная разработка на C#,Хокинг Джозеф,Питер:Для профессионалов,1081,1481,27,На складе
Решение задач на современном C++,Бансила Мариус,ДМК-Пресс,1223,1631,25,На складе
Data Science. Инсайдерская информация для новичков. Включая язык R,"О`Нил Кэти, Шатт Рэйчел",Питер:Библиотека программиста,1129,1546,27,Ограничено
Python 3. Самое необходимое,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV:Самое необходимое,885,1180,25,На складе
Разработка программных приложений в среде BlackBox. Учебное пособие,Болотнов Анатолий Миронович,Лань:Учебники для вузов. Специальная литература,1133,1511,25,На складе
Технологии интеллектуального анализа данных. Учебное пособие,"Макшанов Андрей Владимирович, Журавлев Антон Евгеньевич",Лань:Учебники для вузов. Специальная литература,1501,2001,25,На складе
Осваиваем C++17 STL. Используйте компоненты стандартной библиотеки в C++17 STL в полной мере,О`Двайр Артур,ДМК-Пресс,1530,2040,25,На складе
Начинаем программировать на Python,Гэддис Тони,BHV,1565,2087,25,На складе
Python 3 и PyQt 5. Разработка приложений. 2-е издание,"Прохоренок Николай Анатольевич, Дронов Владимир Александрович",BHV:Профессиональное программирование,1202,1603,25,На складе
Angular. Сборник рецептов,Фрисби Мэтт,Вильямс,1296,1728,25,Ограничено
Java. Полное руководство,Шилдт Герберт,Вильямс,3890,5186,25,На складе
Исследование операций,Таха Хемди А.,Диалектика,3890,5186,25,На складе
Компиляторы. Краткий справочник,Хантер Робин,Вильямс,859,1145,25,Ограничено
Структуры данных и алгоритмы,Ахо Альфред В. и др.,Вильямс,1556,2075,25,На складе
Язык программирования C# 7 и платформы .NET и .NET Core,"Троелсен Эндрю, Джепикс Филипп",Вильямс,5186,6914,25,На складе
Шаблоны C++. Справочник разработчика,Вандевурд Дэвид и др.,Диалектика,3242,4322,25,На складе
Java Persistence API и Hibernate,Бауэр Кристиан и др.,ДМК-Пресс,1530,2040,25,На складе
Байесовские модели. Байесовская статистика на языке Python,Дауни Аллен Б.,ДМК-Пресс,994,1325,25,На складе
Разработка чат-ботов и разговорных интерфейсов,Джанарсанам Срини,ДМК-Пресс,1223,1631,25,На складе
Ядро ORACLE. Внутреннее устройство для администраторо и разработчиков баз данных,Льюис Джонатан,ДМК-Пресс,1223,1631,25,На складе
Apache Kafka. Потоковая обработка и анализ данных,Нархид Ния и др.,Питер:Бестселлеры O`Reilly,1287,1763,27,На складе
Site Reliability Engineering. Надежность и безотказность как в Google,Бейер Бетси и др.,Питер:Бестселлеры O`Reilly,1526,2090,27,На складе
Akka в действии,Рестенбург Раймонд и др.,ДМК-Пресс,1530,2040,25,На складе
Безопасность разработка в Agile-проектах,Белл Лаура и др.,ДМК-Пресс,1376,1835,25,На складе
Чистый Python. Тонкости программирования для профи,Бейдер Дэн,Питер:Библиотека программиста,1094,1498,27,На складе
Теория измеримых множеств и мультимножеств,Петровский Алексей Борисович,Наука,862,1149,25,На складе
Введение в распределенное моделирование в среде NetLogo,Ершов Николай Михайлович,ДМК-Пресс,1376,1835,25,На складе
"Искусственный интеллект .NET. Речь, язык и поиск","Патак Нишит, Бхандари Анураг",ДМК-Пресс,1223,1631,25,На складе
Элегантный SciPy,Нуньес-Иглесиас Хуан и др.,ДМК-Пресс,1453,1937,25,На складе
Изучаем Java EE. Современное программирование для больших предприятий,Дашнер Себастьян,Питер:Для профессионалов,1039,1423,27,На складе
Стандартная библиотека Python 3. Справочник с примерами,Хеллман Даг,Диалектика,3890,5186,25,Ограничено
Олимпиадное программирование,Лааксонен Антти,ДМК-Пресс,1223,1631,25,На складе
Язык декларативного программирования XAML,Подбельский Вадим Валерьевич,ДМК-Пресс,1147,1529,25,На складе
Математика на Python. Часть 1. Элементы линейной алгебры,Александрова Ирина Александровна и др.,Прометей,435,596,27,На складе
Облачные технологии поддержки решения задач анализа безубыточности. Монография,Смирнов Денис Евгеньевич,Прометей,435,596,27,На складе
Разработка игр и теория развлечений,Костер Рэф,ДМК-Пресс,1223,1631,25,На складе
Прикладное программирование на С/С++: с нуля,Иванов Всеволод Борисович,Солон-пресс:Программирование,743,991,25,На складе
Программист-фанатик,Фаулер Чед,Питер:Библиотека программиста,564,772,27,На складе
C# 7 и .NET Core. Кросс-платформенная разработка для профессионалов,Прайс Марк Дж.,Питер:Библиотека программиста,1636,2241,27,На складе
Компьютерные вирусы и антивирусы: взгляд программиста,Климентьев Константин Евгеньевич,ДМК-Пресс:Профессиональное программирование,1223,1631,25,На складе
Практическая статистика для специалистов Data Science. 50 важнейших понятий,"Брюс Питер, Брюс Эндрю",BHV,677,902,25,На складе
Основы объектно-ориентированного программирования на базе языка С#. Учебное пособие,Залогова Любовь Алексеевна,Лань:Учебники для вузов. Специальная литература,1067,1422,25,На складе
Программная инженерия. Учебное пособие,Маран Микхель Михкелевич,Лань:Учебники для вузов. Специальная литература,2024,2698,25,Ограничено
Прикладное программирование. Учебное пособие,Никифоров Сергей Николаевич,Лань:Учебники для вузов. Специальная литература,693,924,25,На складе
Программирование на C# для начинающих. Основные сведения,Васильев Алексей Николаевич,Бомбора:Российский компьютерный бестселлер,1057,Нет старого прайса,Нет скидки,На складе
Java SE 9. Базовый курс,Хорстманн Кей С.,Диалектика,1944,2592,25,На складе
Алгоритмы для чайников,"Массарон Лука, Мюллер Джон Пол","Диалектика:Для ""чайников""",1556,2075,25,На складе
Объектно-ориентированное проектирование: концепции и программный код,Гаст Хольгер,Вильямс,3890,5186,25,Ограничено
Хакинг. Искусство эксплойта,Эриксон Джон,Питер,1463,2004,27,На складе
Глубокое обучение на Python,Шолле Франсуа,Питер:Библиотека программиста,992,1359,27,На складе
C# 7.0. Справочник. Полное описание языка,"Албахари Джозеф, Албахари Бен",Диалектика,3242,4322,25,На складе
Идеальный программист. Как стать профессионалом разработки ПО,Мартин Роберт С.,Питер,618,846,27,На складе
Python. Разработка на основе тестирования,Персиваль Гарри,ДМК-Пресс,2294,3059,25,На складе
"Чистый код. Создание, анализ и рефакторинг",Мартин Роберт С.,Питер,672,921,27,На складе
Qt 5.10. Профессиональное программирование на C++,Шлее Макс,BHV:В подлиннике,1475,1966,25,На складе
Теоретический минимум по Computer Science. Все что нужно программисту и разработчику,Феррейра Фило Владстон,Питер:Библиотека программиста,638,874,27,На складе
Паттерны проектирования на платформе .NET,Тепляков Сергей,Питер,638,874,27,На складе
Линейная алгебра и линейное программирование для экономистов. Учебник,Швед Евгений Вадимович и др.,Кнорус:Бакалавриат,1028,1371,25,На складе
Программирование на Ардуино. От простого к сложному,Мамичев Дмитрий Иванович,Солон-пресс:Радиоэлектроника,576,768,25,На складе
Unity для разработчика. Мобильные мультиплатформенные игры,"Мэннинг Джон, Батфилд-Эддисон Пэрис",Питер:Бестселлеры O`Reilly,781,1070,27,Ограничено
Запускаем Ansible,"Хохштейн Лорин, Мозер Рене",ДМК-Пресс,1530,2040,25,На складе
Современный Java. Рецепты программирования,Коузен Кен,ДМК-Пресс,1223,1631,25,На складе
Сам себе программист. Как научиться программировать и устроиться в Ebay?,Альтхофф Кори,Бомбора:Мировой компьютерный бестселлер,610,782,22,На складе
"Программное обеспечение геодезии, фотограм, кадастра, инж.из.",Браверман Борис Аронович,Инфра-Инженерия,994,1325,25,Ограничено
Собираем устройства для тестов на проникновение,Бирюков Андрей Александрович,ДМК-Пресс,1147,1529,25,На складе
Самоучитель PHP 7,"Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович",BHV:Самоучитель,544,725,25,На складе
Блокчейн. Разработка приложений,Прасти Нараян,BHV,494,658,25,На складе
Java. Карманный справочник,"Лигуори Роберт, Лигуори Патрисия",Вильямс,1038,1384,25,Ограничено
Чистая архитектура. Искусство разработки программного обеспечения,Мартин Роберт С.,Питер:Библиотека программиста,830,1137,27,На складе
Объектно Ориентированное Программирование,Гаско Рик,Солон-пресс:Программирование,671,894,25,На складе
Простая Математика для Простых Программистов,Гаско Рик,Солон-пресс:Программирование,671,894,25,На складе
Простой учебник программирования,Гаско Рик,Солон-пресс:Программирование,755,1007,25,На складе
Потоковая обработка данных. Конвейер реального времени,Пселтис Эндрю Дж.,ДМК-Пресс,1070,1427,25,На складе
Java для чайников,Берд Барри,"Диалектика:Для ""чайников""",1556,2075,25,Ограничено
"Computer Science. Основы программирования на Java, ООП, алгоритмы и структуры данных","Седжвик Роберт, Уэйн Кевин",Питер,1880,2576,27,На складе
Психбольница в руках пациентов. Алан Купер об интерфейсах,Купер Алан,Питер:Библиотека программиста,1132,1550,27,На складе
OpenCV и Java. Обработка изображений и компьютерное зрение,Прохоренок Николай Анатольевич,BHV:Профессиональное программирование,611,814,25,На складе
"Высоконагруженные приложения. Программирование, масштабирование, поддержка",Клеппман Мартин,Питер:Бестселлеры O`Reilly,2194,3005,27,На складе
Head First. Паттерны проектирования. Обновленное юбилейное издание,Фримен Эрик и др.,Питер:Head First (O'Reilly),1398,1915,27,На складе
Английский язык в программировании и информационных системах (СПО). Учебник,Радовель Валентина Александровна,Кнорус:Среднее профессиональное образование,1371,Нет старого прайса,Нет скидки,На складе
Глубокое обучение с точки зрения практика,"Паттерсон Джош, Гибсон Адам",ДМК-Пресс,1988,2651,25,На складе
Думай как программист. Креативный подход к созданию кода. C++ версия,Спрол Антон,Бомбора:Мировой компьютерный бестселлер,649,832,22,На складе
Релевантный поиск с использованием Elasticsearch и Solr,"Тарнбулл Даг, Берримен Джон",ДМК-Пресс,1376,1835,25,На складе
Программирование на языке Rust. Цветное издание,"Блэнди Джим, Орендорф Джейсон",ДМК-Пресс,2294,3059,25,На складе
Angular 4. Быстрая разработка сверхдинамичных Web-сайтов на TypeScript и PHP,Дронов Владимир Александрович,BHV:Профессиональное программирование,729,972,25,На складе
Алгоритмы для начинающих. Теория и практика для разработчика,Луридас Панос,Бомбора:Мировой компьютерный бестселлер,944,1210,22,На складе
Реактивные шаблоны проектирования,Кун Роланд и др.,Питер:Библиотека программиста,1070,1466,27,На складе
Android. Сборник рецептов. Задачи и решения для разработчиков приложений,Дарвин Ян Ф.,Диалектика,3242,4322,25,Ограничено
Официальное руководство Cisco по подготовке к сертификационным экзаменам CCENT/CCNA ICND1 100-105,Одом Уэнделл,Вильямс,5002,6669,25,На складе
"Язык R в задачах науки о данных. Импорт, подготовка, обработка, визуализация и моделирование данных","Уикем Хэдли, Гроулмунд Гарретт",Вильямс,3242,4322,25,На складе
Теория и практика делового общения для разработчиков программного обеспечения и IT-менеджеров,Абельская Раиса Шолемовна,Флинта,237,316,25,На складе
Глубокое обучение. Погружение в мир нейронных сетей,Николенко С. и др.,Питер:Библиотека программиста,923,1265,27,На складе
PHP7 для начинающих с пошаговыми инструкциями,МакГрат Майк,Эксмо-Пресс:Программирование - это просто,568,728,22,На складе
Анализ социальных медиа на Python,Бонцанини Марко,ДМК-Пресс,1223,1631,25,На складе
Глубокое обучение (цветная),Бенджио Иошуа и др.,ДМК-Пресс,2907,3876,25,На складе
"Прямые и обратные задачи восстановления изображений, спектроскопии и томографии с MatLab (+CD)",Сизиков Валерий Сергеевич,Лань:Учебники для вузов. Специальная литература,2730,3640,25,На складе
Наиболее эффективное программирование на C#. 50 способов улучшения кода,Вагнер Билл,Вильямс,1556,2075,25,Ограничено
Функциональное программирование на JavaScript. Как улучшить код JavaScript-программ,Атенсио Луис,Вильямс,1944,2592,25,Ограничено
Разработка операционной системы и компилятора. Проект Оберон,"Вирт Никлаус, Гуткнехт Юрг",ДМК-Пресс:Классика программирования,1223,1631,25,На складе
CodeVisionAVR. Пособие для начинающих,Лебедев Михаил Борисович,ДМК-Пресс:Программируемые системы,1070,1427,25,На складе
Scala. Профессиональное программирование,Одерски Мартин и др.,Питер:Библиотека программиста,2123,2908,27,На складе
Искусство алгоритмизации,Потопахин Виталий Валерьевич,ДМК-Пресс,845,1127,25,На складе
Java 9. Полный обзор нововведений,Кишори Шаран,ДМК-Пресс:Программирование,1530,2040,25,На складе
Kotlin в действии,"Жемеров Дмитрий Борисович, Исакова Светлана Сергеевна",ДМК-Пресс,1376,1835,25,На складе
Конкурентное программирование на Scala,Прокопец Александр,ДМК-Пресс,1300,1733,25,На складе
Крупномасштабное машинное обучение вместе с Python,Шарден Бастиан и др.,ДМК-Пресс,1223,1631,25,На складе
Программирование на Clojure,Эмерик Чаз и др.,ДМК-Пресс:Функциональное программирование,1835,2447,25,На складе
C# 7.0. Карманный справочник. Скорая помощь для программистов на C# 7.0,"Албахари Джозеф, Албахари Бен",Вильямс,1038,1384,25,На складе
Адаптивный код. Гибкое кодирование с помощью паттернов проектирования и принципов SOLID,Холл Гэри Маклин,Вильямс,2592,3456,25,На складе
Секреты JavaScript ниндзя,Резиг Джон и др.,Вильямс,3242,4322,25,На складе
Машинное обучение с использованием библиотеки Н2О,Кук Даррен,ДМК-Пресс,1223,1631,25,На складе
Python для сложных задач. Наука о данных и машинное обучение,Плас Дж. Вандер,Питер:Бестселлеры O`Reilly,1416,1940,27,На складе
Создаем нейронную сеть,Рашид Тарик,Вильямс,1944,2592,25,На складе
Библиотека Keras - инструмент глубокого обучения,"Джулли Антонио, Пал Суджит",ДМК-Пресс,1376,1835,25,На складе
Визуализация данных с помощью библиотеки D3.js 4.x,"Рининсланд Эндрю, Свизек Теллер",ДМК-Пресс,1070,1427,25,На складе
JavaScript в примерах и задачах,,Эксмо-Пресс:Российский компьютерный бестселлер,812,1041,22,На складе
Практикум по параллельному программированию,Борзунов Сергей Викторович и др.,BHV:Учебная литература для ВУЗов,552,736,25,На складе
"Программирование командных оболочек в Unix, Linux и OS X","Кочан Стефан, Вуд Патрик",Диалектика,2592,3456,25,На складе
Рефакторинг. Улучшение проекта существующего кода,Бек Кент и др.,Диалектика,2592,3456,25,На складе
Введение в язык Pascal. Учебное пособие,Абрамов Владимир Геннадьевич и др.,Кнорус:Среднее профессиональное образование,1028,1371,25,Ограничено
Изучаем программирование на Python,Бэрри Пол,Эксмо:Мировой компьютерный бестселлер,1232,1579,22,На складе
jQuery в действии,Бибо Беэр и др.,Питер:Для профессионалов,1048,1436,27,На складе
Шаблоны проектирования Node.JS,"Касиаро Марио, Маммино Лучано",ДМК-Пресс,1300,1733,25,На складе
SCALA для нетерпеливых,Хостманн Кей,ДМК-Пресс:Функциональное программирование,1147,1529,25,На складе
Практикум по проектированию на языках VerilogHDL и SystemVerilog. Учебное пособие,"Мурсаев Александр Хафизович, Буренева Ольга Игоревна",Лань:Учебники для вузов. Специальная литература,833,1111,25,На складе
C#. Основы программирования. Учебное пособие,"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2322,3096,25,На складе
C#. Программирование 2D и 3D векторной графики (+CD),"Тюкачев Николай Аркадьевич, Хлебостроев Виктор Григорьевич",Лань:Учебники для вузов. Специальная литература,2072,2762,25,На складе
Разработка современных веб-приложений. Анализ предметных областей и технологий,Эспозито Дино,Вильямс,3242,4322,25,На складе
Vulkan. Руководство разработчика,"Селлерс Грехем, Кессенич Джон",ДМК-Пресс,1453,1937,25,На складе
Введение в машинное обучение с помощью Python. Руководство для специалистов по работе с данными,"Мюллер Адреас П., Гвидо Сара",Вильямс,3242,4322,25,На складе
Машинное обучение,Бринк Хенрик и др.,Питер:Библиотека программиста,1453,1991,27,На складе
Среда динамического моделирования технических систем SimInTech,Карташов Борис Александрович и др.,ДМК-Пресс,1070,1427,25,На складе
"Алгоритмы. Справочник с примерами на C, C++, Java и Python",Хайнеман Джордж и др.,Вильямс,2592,3456,25,На складе
Изучаем JavaScript. Руководство по созданию современных веб-сайтов,Браун Этан,Вильямс,1944,2592,25,На складе
Софт за 30 дней. Как Scrum делает невозможное возможным,"Сазерленд Джефф, Швабер Кен","Манн, Иванов и Фербер:МИФ. Бизнес",1156,1482,22,Ограничено
Изучаем OpenCV 3,"Кэлер Адриан, Брэдски Гэри",ДМК-Пресс,2600,3467,25,На складе
Семь языков за семь недель. Практическое руководство по изучению языков программирования,Тейт Брюс,ДМК-Пресс,994,1325,25,На складе
Принципы и методы создания надежного программного обеспечения АСУТП. Методическое пособие,Мякишев Дмитрий Владимирович,Инфра-Инженерия,698,931,25,На складе
Flash MX для профессиональных программистов. Учебное пособие,Капустин Михаил Анатольевич и др.,Просвещение/Бином:Основы информационных технологий,419,574,27,На складе
Основы программирования,Окулов Станислав Михайлович,Просвещение/Бином:Развитие интеллекта школьников,553,758,27,На складе
Программирование на Java для начинающих,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,812,1041,22,На складе
Экстремальное программирование. Разработка через тестирование,Бек Кент,Питер:Библиотека программиста,894,1224,27,На складе
Javascript и jQuery. Интерактивная веб-разработка,Дакетт Джон,Эксмо:Мировой компьютерный бестселлер,1726,2213,22,На складе
Введение в Elixir. Введение в функциональное программирование,"Сенлорен Симон, Эйзенберг Дэвид",ДМК-Пресс,1070,1427,25,На складе
Моделирование аукционов,Демешев Борис Борисович,ДМК-Пресс,546,728,25,На складе
Пользовательские истории. Искусство гибкой разработки ПО,Паттон Джефф,Питер:Бестселлеры O`Reilly,961,1317,27,На складе
Как самому написать мобильную 2D-игру,Язев Юрий Евгеньевич,Солон-пресс:Библиотека профессионала,847,1129,25,На складе
Python и машинное обучение,Рашка Себастьян,ДМК-Пресс,1988,2651,25,На складе
Проектирование пользовательского интерфейса Android,Клифтон Ян,ДМК-Пресс,1530,2040,25,На складе
Программирование на C в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,902,1157,22,На складе
"Прикладная криптография. Протоколы, алгоритмы и исходный код на C",Шнайер Брюс,Диалектика,5717,7622,25,На складе
ASP.NET Core MVC с примерами на C# для профессионалов,Фримен Адам,Диалектика,4538,6050,25,На складе
"Стек, или Путешествие туда и обратно",Вторников Алексей Анатольевич,ДМК-Пресс,395,527,25,На складе
Программирование на Visual Basic для начинающих,МакГрат Майк,Эксмо-Пресс:Программирование для начинающих (обложка),528,677,22,На складе
Язык программирования С++ (стандарт С++11). Краткий курс,Страуструп Бьерн,Бином,473,631,25,На складе
Реактивное программирование с использованием RxJava,"Нуркевич Томаш, Кристенсен Бен",ДМК-Пресс,1300,1733,25,На складе
Грокаем алгоритмы. Иллюстрированное пособие для программистов и любопытствующих,Бхаргава Адитья,Питер:Библиотека программиста,767,1051,27,На складе
Изучаем PHP 7. Руководство по созданию интерактивных веб-сайтов,Скляр Дэвид,Диалектика,1944,2592,25,На складе
Не заставляйте меня думать,Круг Стив,Эксмо-Пресс:Мировой компьютерный бестселлер,690,885,22,На складе
Основы Data Science и Big Data. Python и наука о данных,Силен Дэви и др.,Питер:Библиотека программиста,1212,1660,27,На складе
Go на практике,"Батчер Мэтт, Фарина Мэтт",ДМК-Пресс,1223,1631,25,На складе
Использование Docker,Моуэт Эдриен,ДМК-Пресс,1376,1835,25,На складе
Методы разработки математических моделей и вычислительный эксперимент на базе пакета MATLAB,Плохотников Константин Эдуардович,Солон-пресс,1250,1667,25,На складе
Программирование систем числового программного управления. учебное пособие (+CD),"Сосонкин Владимир Лазаревич, Мартинов Георгий",Логос:Новая университетская библиотека,944,1258,25,На складе
"Гибкая разработка программ на Java и C++. Принципы, паттерны и методики",Мартин Роберт С.,Диалектика,3890,5186,25,Ограничено
Цифровая обработка сигналов на языке Python,Дауни Аллен Б.,ДМК-Пресс,620,827,25,На складе
Программирование на C++ в примерах и задачах,Васильев Алексей Николаевич,Эксмо-Пресс:Российский компьютерный бестселлер,649,832,22,На складе
Cassandra. Полное руководство,"Карпентер Джефф, Хьюитт Эбен",ДМК-Пресс,1147,1529,25,На складе
Изучаем Angular 2,Дилеман Пабло,ДМК-Пресс,1070,1427,25,На складе
Разработка обслуживаемых программ на языке C#,Виссер Джуст,ДМК-Пресс,695,927,25,На складе
Разработка обслуживаемых программ на языке Java,Виссер Джуст,ДМК-Пресс,695,927,25,На складе
XBRL для чайников,"Хоффман Чарльз, Уотсон Лив","Диалектика:Для ""чайников""",1944,2592,25,На складе
Основы программирования. Учебник с практикумом,Макарова Наталья Владимировна и др.,Кнорус:Среднее профессиональное образование,1470,1960,25,Ограничено
Разработка геоприложений на языке Python,Вестра Эрик,ДМК-Пресс,1300,1733,25,На складе
Системы искусственного интеллекта. Учебное пособие,Бураков Михаил Владимирович,Проспект,477,654,27,На складе
Сбор данных в Интернете на языке R,Храмов Дмитрий Александрович,ДМК-Пресс,994,1325,25,На складе
Unity 5.x. Программирование искусственного интеллекта в играх,Паласиос Хорхе,ДМК-Пресс,1070,1427,25,На складе
Программирование микроконтроллеров. Стратегия и тактика,Матюшин Андрей Олегович,ДМК-Пресс,1223,1631,25,На складе
Распределенные алгоритмы. Интуитивный подход,Фоккинк Уон,Питер:Для профессионалов,911,1248,27,Ограничено
Ruby on Rails для начинающих. Изучаем разработку веб-приложений на основе Rails,Хартл Майкл,ДМК-Пресс,1682,2243,25,На складе
Автоматизация рутинных задач с помощью Python. Практическое руководство для начинающих,Свейгарт Эл,Диалектика,1944,2592,25,На складе
PHP 7,"Котеров Дмитрий Владимирович, Симдянов Игорь Вячеславович",BHV:В подлиннике,1304,1739,25,На складе
Анализ сетей (графов) в среде R. Руководство пользователя,Люк Дуглас А.,ДМК-Пресс,1376,1835,25,На складе
Основы проектирования в Autodesk Inventor 2016,Зиновьев Дмитрий Валериевич,ДМК-Пресс,620,827,25,На складе
Простой Python. Современный стиль программирования,Любанович Билл,Питер:Бестселлеры O`Reilly,1129,1546,27,На складе
Linux. Карманный справочник,Граннеман Скотт,Вильямс,1296,1728,25,На складе
Введение в системы баз данных,Дейт К. Дж.,Диалектика,4538,6050,25,На складе
Bootstrap в примерах,Морето Сильвио,ДМК-Пресс,1070,1427,25,На складе
Вычислительная геометрия. Алгоритмы и приложения,Де Берг Марк и др.,ДМК-Пресс,1835,2447,25,На складе
Разработка веб-приложений в ReactJS,"Хортон Адам, Вайс Райан",ДМК-Пресс,1070,1427,25,На складе
"Непрерывное развертывание ПО. Автоматизация процессов сборки, тестирования и внедрения новых версий","Хамбл Джез, Фарли Дейвид",Вильямс,3242,4322,25,Ограничено
Карьера программиста,Лакман Макдауэлл Гейл,Питер:Библиотека программиста,1502,2057,27,На складе
Введение в статистическое обучение с примерами на языке R,Джеймс Гарет и др.,ДМК-Пресс,2294,3059,25,На складе
